pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance
1028,502171,"Cobb, Alex",2418,42.5,0.244,0.063,0.304,0.307,0.256,0.249,0.226,66,270,86.5,1.9,1578,89.6,88.95,176,581,447,-0.6,5.87,110,153,119,148,297,323,297
969,592332,"Gausman, Kevin",2783,34.8,0.192,0.101,0.327,0.293,0.23,0.198,0.169,53,276,83.1,4.9,1571,85.2,85.25,261,587,382,0.1,6.47,110,159,121,149,293,322,299
689,592836,"Walker, Taijuan",2500,27.6,0.195,0.071,0.252,0.267,0.226,0.261,0.225,41,210,88.7,-1,1447,88.8,88.43,119,410,279,-0.4,6.02,111,155,119,148,299,328,301
593,593423,"Montas, Frankie",2327,25.5,0.177,0.104,0.257,0.28,0.219,0.223,0.18,29,164,87,6.1,1467,86.4,85.96,120,332,261,-0.4,5.91,112,155,121,147,291,320,296
555,664062,"Gonsolin, Tony",2015,27.5,0.113,0.089,0.152,0.202,0.147,0.205,0.187,19,168,88.2,6.9,1411,83.5,83.16,106,328,227,-0.3,5.95,112,159,124,150,294,316,296
505,641816,"Mahle, Tyler",2101,24,0.236,0.15,0.262,0.386,0.29,0.285,0.226,30,127,83.6,11,1900,85.4,85.92,60,251,254,0.5,6.56,118,155,119,148,289,320,294
363,543135,"Eovaldi, Nathan",1739,20.9,0.181,0.048,0.265,0.229,0.197,0.239,0.215,19,105,89.1,3.1,1561,87.8,88.52,86,220,143,0.7,6.64,111,157,118,150,294,328,295
314,617228,"Sawamura, Hirokazu",838,37.5,0.192,0.027,0.292,0.219,0.216,0.218,0.174,14,73,83.1,-0.5,1418,92,92.35,58,160,154,0.4,6.34,108,150,115,146,289,326,297
312,593576,"Neris, Héctor",1012,30.8,0.173,0.074,0.368,0.247,0.198,0.223,0.198,14,81,89.1,6.6,1136,85.1,84.72,87,166,146,-0.4,6.22,116,156,115,150,293,323,294
311,660271,"Ohtani, Shohei",2629,11.8,0.126,0.126,0.294,0.252,0.166,0.12,0.104,13,103,85.6,3.2,1267,89.3,90.05,79,160,151,0.8,6.85,117,155,124,156,294,323,294
299,543606,"Odorizzi, Jake",1798,16.6,0.259,0.062,0.333,0.321,0.288,0.248,0.211,21,81,84.4,4.4,1324,85.1,85.01,32,144,155,-0.1,6.16,113,154,124,149,298,321,299
285,663986,"Stephan, Trevor",1032,27.6,0.153,0.071,0.375,0.224,0.208,0.184,0.125,13,85,83.1,3.6,1272,87.9,87.82,81,150,135,-0.1,6.59,112,152,118,148,291,313,292
278,641941,"Pagán, Emilio",1126,24.7,0.259,0.185,0.362,0.444,0.32,0.257,0.214,21,81,88.2,-1,1531,88.4,89.35,53,151,127,0.9,6.83,113,159,120,151,297,330,292
263,642585,"Bautista, Félix",995,26.4,0.087,0.098,0.194,0.185,0.121,0.102,0.082,8,92,83.6,12.3,1110,88.4,88.55,73,137,126,0.1,6.43,109,157,121,150,303,321,294
260,573186,"Stroman, Marcus",2181,11.9,0.29,0.113,0.333,0.403,0.296,0.315,0.291,18,62,85.7,6.8,1713,87,86.27,31,127,133,-0.7,5.68,109,151,118,159,294,318,295
223,657024,"Swanson, Erik",880,25.3,0.129,0.097,0.179,0.226,0.151,0.207,0.192,8,62,82.4,6,1147,83.5,84.43,36,125,98,0.9,6.81,115,153,118,149,291,322,299
222,506433,"Darvish, Yu",2971,7.5,0.138,0.113,0.231,0.25,0.179,0.192,0.16,11,80,87.5,4.1,1309,89.2,89.86,52,131,91,0.7,6.71,116,165,128,153,292,319,302
206,592773,"Stanek, Ryne",895,23,0.189,0.019,0.313,0.208,0.218,0.203,0.158,10,53,83.2,3.3,1040,88.6,88.27,44,100,106,-0.3,6.13,113,155,118,149,294,322,295
166,592741,"Shreve, Chasen",474,35,0.135,0.108,0.222,0.243,0.189,0.18,0.146,5,37,83.9,2.7,999,83,83.2,28,69,97,0.2,6.49,111,156,123,148,297,325,301
163,661395,"Duran, Jhoan",1023,15.9,0.269,0.192,0.306,0.462,0.353,0.308,0.238,14,52,89.7,-10.6,1658,96.4,96.33,34,100,63,-0.1,6.18,111,153,115,149,300,332,293
151,656803,"Norwood, James",370,40.8,0.27,0.027,0.455,0.297,0.292,0.242,0.196,10,37,87.7,7.5,1543,90.7,91.47,38,89,62,0.8,6.6,110,150,128,141,296,325,293
144,503449,"Peralta, Wily",694,20.7,0.275,0.2,0.385,0.475,0.346,0.289,0.235,11,40,86.7,13.7,1165,82.6,81.93,25,80,64,-0.7,5.82,108,158,120,152,303,328,296
142,670280,"Bednar, David",842,16.9,0.182,0.023,0.267,0.205,0.202,0.223,0.198,8,44,86.1,-3.2,1562,89.8,90.49,25,81,61,0.7,6.58,108,150,117,148,304,323,302
137,681217,"Silseth, Chase",501,27.3,0.214,0.19,0.25,0.405,0.292,0.301,0.25,9,42,88,13.1,1296,86.3,85.61,21,74,63,-0.7,5.91,118,151,119,159,294,320,293
125,472610,"García, Luis",966,12.9,0.182,0.03,0.353,0.212,0.202,0.162,0.138,6,33,90.3,0.9,1098,88.8,89.58,23,57,68,0.8,6.73,115,157,120,153,289,323,308
119,544727,"Familia, Jeurys",817,14.6,0.273,0.136,0.278,0.409,0.328,0.302,0.242,6,22,85,1.8,1802,92.5,91.52,13,52,67,-1,5.74,113,154,122,145,293,328,296
106,672578,"Hernández, Carlos",1035,10.2,0.273,0.182,0.294,0.455,0.316,0.222,0.162,6,22,79.8,9.9,1183,85,80.89,13,43,63,-4.1,6.73,109,157,115,150,296,324,306
104,663485,"Sands, Cole",603,17.2,0.25,0.042,0.3,0.292,0.255,0.221,0.205,6,24,83.3,0.4,1294,84.9,83.39,11,47,57,-1.5,5.36,112,159,119,149,294,329,289
101,547973,"Chapman, Aroldis",679,14.9,0.115,0.115,0.154,0.231,0.204,0.231,0.161,3,26,88.8,-13.2,835,88.1,89.76,19,47,54,1.7,7.34,111,155,122,149,299,328,288
99,640451,"Harvey, Hunter",661,15,0.241,0.103,0.412,0.345,0.251,0.184,0.195,7,29,85.5,5.3,1002,89.4,89.15,15,49,50,-0.2,6.15,112,155,128,147,297,314,302
95,640448,"Finnegan, Kyle",1053,9,0.2,0.167,0.217,0.367,0.248,0.261,0.233,6,30,90.5,7.4,1095,88.6,89.25,14,52,43,0.7,6.59,115,158,128,149,302,320,304
93,641793,"Littell, Zack",758,12.3,0.182,0.045,0.25,0.227,0.22,0.259,0.189,4,22,87.1,4.2,880,85.6,85.89,15,42,51,0.3,6.37,113,154,122,147,297,324,295
87,657053,"Toussaint, Touki",431,20.2,0.059,0,0.083,0.059,0.148,0.229,0.156,1,17,88.2,-4.2,1568,86.6,88.1,17,45,42,1.5,7.03,113,157,121,153,293,321,295
79,455119,"Martin, Chris",858,9.2,0.238,0.048,0.455,0.286,0.228,0.19,0.197,5,21,78.4,4.7,1507,88.4,88.92,9,36,43,0.5,6.59,112,155,121,156,292,316,296
76,518585,"Cruz, Fernando",260,29.2,0.042,0.042,0.143,0.083,0.124,0.149,0.084,1,24,82,22.4,845,81.7,82.8,26,42,34,1.1,6.99,119,151,120,148,290,311,289
73,656457,"Gilbert, Tyler",564,12.9,0.136,0.136,0.111,0.273,0.175,0.23,0.205,3,22,84.5,4.8,1431,81.7,81.18,9,37,36,-0.5,6.01,105,151,120,145,303,322,296
67,489446,"Yates, Kirby",137,48.9,0.154,0.154,0.222,0.308,0.26,0.269,0.182,2,13,87.9,0.9,1315,86.6,86.41,13,29,38,-0.2,6.14,115,156,130,146,311,317,296
57,680704,"Sandlin, Nick",740,7.7,0.083,0,0.083,0.083,0.074,0.261,0.282,1,12,90,-9.3,1507,88.3,88.64,2,24,33,0.3,6.5,116,155,115,150,287,313,295
57,650644,"Civale, Aaron",1588,3.6,0.5,0.3,0.444,0.8,0.575,0.407,0.277,5,10,94.4,5.6,1843,85.5,85.09,2,20,37,-0.4,5.91,110,153,115,149,293,315,292
55,656557,"Houck, Tanner",918,6,0.25,0,0.4,0.25,0.221,0.149,0.149,2,8,92.4,15.6,1656,87.6,87.28,8,22,33,-0.3,6.28,125,168,116,154,288,326,301
46,606131,"Perdomo, Luis",285,16.1,0.333,0.167,0.313,0.5,0.378,0.346,0.289,6,18,86.9,-5.9,1564,87.5,87.29,2,25,21,-0.1,6.2,111,151,120,148,298,320,299
44,685503,"Arihara, Kohei",390,11.3,0.188,0,0.3,0.188,0.226,0.291,0.255,3,16,91.4,13.3,1425,82.7,83.48,10,26,18,0.8,6.77,115,149,117,142,297,319,290
41,676720,"Romero, Tommy",191,21.5,0.25,0.5,0.167,0.75,0.44,0.474,0.324,3,12,93.6,14,1225,83.7,84.51,5,21,20,0.8,6.77,111,163,123,148,297,318,299
40,542914,"Bass, Anthony",986,4.1,0.25,0,0.3,0.25,0.221,0.177,0.17,3,12,82,22.8,1289,86.7,87.16,8,21,19,0.5,6.5,116,153,108,153,290,318,301
29,676886,"Beasley, Jeremy",271,10.7,0,0,,0,0.18,0.18,,0,3,,,1346,87.3,87.37,6,10,19,0.1,6.26,108,149,132,150,282,318,299
24,543507,"May, Trevor",465,5.2,0.143,0,0.2,0.143,0.197,0.244,0.187,1,7,82.6,24.8,1126,87.2,88.4,4,10,14,1.2,7.09,106,144,106,133,293,325,308
23,663554,"Mize, Casey",169,13.6,0.333,0,0.5,0.333,0.295,0.451,0.47,1,3,91.8,14,854,84.5,85.14,2,9,14,0.6,6.89,105,149,109,142,293,323,299
21,453343,"Melancon, Mark",886,2.4,0.167,0,0.167,0.167,0.147,0.302,0.311,1,6,88.3,19.2,1831,83.7,83.12,2,9,12,-0.6,6.19,120,163,131,154,294,323,300
18,673316,"Barker, Luke",54,33.3,0.5,0.5,0.5,1,0.64,0.688,0.542,3,6,94.5,10.6,496,81.8,81.84,2,10,8,0,6.49,119,151,125,145,295,316,299
17,630023,"Chirinos, Yonny",100,17,0,0,0,0,0.12,0.356,0.156,0,5,98,2.5,1155,85.3,85.15,3,8,9,-0.1,6.28,100,152,111,150,298,325,296
17,461325,"Clippard, Tyler",113,15,0.125,0,0.2,0.125,0.178,0.227,0.18,1,8,77.1,-1.2,503,80.3,79.78,3,12,5,-0.5,6.1,122,156,127,147,298,313,299
16,657585,"Garrett, Reed",196,8.2,0,0,0,0,0.144,0.367,0.261,0,4,100.2,-15.5,1434,87.5,87.87,2,5,11,0.4,6.46,112,156,128,147,298,321,304
14,607359,"Patton, Spencer",111,12.6,0.333,0,0.5,0.333,0.401,0.27,0.129,1,3,73.9,-34.5,1656,85.1,85.1,1,3,11,0,6.39,117,156,127,150,298,322,300
9,656458,"Gilbreath, Lucas",796,1.1,,,,,,,,,,,,1189,85,85.3,0,3,6,0.3,6.44,105,148,119,146,301,319,293
7,686613,"Brown, Hunter",309,2.3,0.333,0,0.333,0.333,0.295,0.385,0.421,1,3,96.1,2,1438,89.2,89.66,0,3,4,0.5,6.69,121,155,104,153,285,325,296
5,596112,"Stephenson, Robert",914,0.5,,,,,,,,,,,,1521,88.1,88.38,0,0,5,0.3,6.28,117,154,119,149,306,327,305
2,448281,"Doolittle, Sean",55,3.6,,,,,,,,,,,,1176,80.5,80.65,0,0,2,0.2,6.35,115,152,120,146,300,317,284